Method	Dataset	Metric	Value	Set
Baseline(ESM-1b)	Lentivirus	Balanced accuracy	0.793743418743419	Holdout
Baseline(ESM-1b)	Lentivirus	Accuracy	0.831111111111111	Holdout
Baseline(ESM-1b)	Measles morbilivirus	AUC	0.529702818627451	Holdout
Baseline(ESM-1b)	Measles morbilivirus	F1	0.584033613445378	Holdout
Baseline(ESM-1b)	Measles morbilivirus	MCC	-0.0719663959559244	Holdout
Baseline(ESM-1b)	Measles morbilivirus	PPV	0.454248366013072	Holdout
Baseline(ESM-1b)	Measles morbilivirus	NPV	0.446428571428571	Holdout
Baseline(ESM-1b)	Measles morbilivirus	Sensitivity	0.817647058823529	Holdout
Baseline(ESM-1b)	Measles morbilivirus	Specificity	0.130208333333333	Holdout
Baseline(ESM-1b)	Measles morbilivirus	Balanced accuracy	0.473927696078431	Holdout
Baseline(ESM-1b)	Measles morbilivirus	Accuracy	0.453038674033149	Holdout
Baseline(ESM-1b)	Mononegavirales	AUC	0.740039589557944	Holdout
Baseline(ESM-1b)	Mononegavirales	F1	0.59308314937454	Holdout
Baseline(ESM-1b)	Mononegavirales	MCC	0.32084140651009	Holdout
Baseline(ESM-1b)	Mononegavirales	PPV	0.46969696969697	Holdout
Baseline(ESM-1b)	Mononegavirales	NPV	0.839080459770115	Holdout
Baseline(ESM-1b)	Mononegavirales	Sensitivity	0.80439121756487	Holdout
Baseline(ESM-1b)	Mononegavirales	Specificity	0.528985507246377	Holdout
Baseline(ESM-1b)	Mononegavirales	Balanced accuracy	0.666688362405624	Holdout
Baseline(ESM-1b)	Mononegavirales	Accuracy	0.623040218132243	Holdout
Baseline(ESM-1b)	M. tuberculosis	AUC	0.50623900311053	Holdout
Baseline(ESM-1b)	M. tuberculosis	F1	0.647742633144093	Holdout
Baseline(ESM-1b)	M. tuberculosis	MCC	0.0392287884825752	Holdout
Baseline(ESM-1b)	M. tuberculosis	PPV	0.527753303964758	Holdout
Baseline(ESM-1b)	M. tuberculosis	NPV	0.523711340206186	Holdout
Baseline(ESM-1b)	M. tuberculosis	Sensitivity	0.838348495451365	Holdout
Baseline(ESM-1b)	M. tuberculosis	Specificity	0.191553544494721	Holdout
Baseline(ESM-1b)	M. tuberculosis	Balanced accuracy	0.514951019973043	Holdout
Baseline(ESM-1b)	M. tuberculosis	Accuracy	0.527041742286751	Holdout
Baseline(ESM-1b)	Orthopoxvirus	AUC	0.622876521298174	Holdout
Baseline(ESM-1b)	Orthopoxvirus	F1	0.298136645962733	Holdout
Baseline(ESM-1b)	Orthopoxvirus	MCC	0.101324121307025	Holdout
Baseline(ESM-1b)	Orthopoxvirus	PPV	0.233009708737864	Holdout
Baseline(ESM-1b)	Orthopoxvirus	NPV	0.850220264317181	Holdout
Baseline(ESM-1b)	Orthopoxvirus	Sensitivity	0.413793103448276	Holdout
Baseline(ESM-1b)	Orthopoxvirus	Specificity	0.709558823529412	Holdout
Baseline(ESM-1b)	Orthopoxvirus	Balanced accuracy	0.561675963488844	Holdout
Baseline(ESM-1b)	Orthopoxvirus	Accuracy	0.657575757575758	Holdout
Baseline(ESM-1b)	O. volvulus	AUC	0.672958808029141	Holdout
Baseline(ESM-1b)	O. volvulus	F1	0.250497017892644	Holdout
Baseline(ESM-1b)	O. volvulus	MCC	0.201578330456862	Holdout
Baseline(ESM-1b)	O. volvulus	PPV	0.431506849315068	Holdout
Baseline(ESM-1b)	O. volvulus	NPV	0.868456375838926	Holdout
Baseline(ESM-1b)	O. volvulus	Sensitivity	0.176470588235294	Holdout
Baseline(ESM-1b)	O. volvulus	Specificity	0.95899209486166	Holdout
Baseline(ESM-1b)	O. volvulus	Balanced accuracy	0.567731341548477	Holdout
Baseline(ESM-1b)	O. volvulus	Accuracy	0.841663166736665	Holdout
Baseline(ESM-1b)	P. aeruginosa	AUC	0.669098391320614	Holdout
Baseline(ESM-1b)	P. aeruginosa	F1	0.690647482014389	Holdout
Baseline(ESM-1b)	P. aeruginosa	MCC	0.262683909374395	Holdout
Baseline(ESM-1b)	P. aeruginosa	PPV	0.827586206896552	Holdout
Baseline(ESM-1b)	P. aeruginosa	NPV	0.410714285714286	Holdout
Baseline(ESM-1b)	P. aeruginosa	Sensitivity	0.592592592592593	Holdout
Baseline(ESM-1b)	P. aeruginosa	Specificity	0.696969696969697	Holdout
Baseline(ESM-1b)	P. aeruginosa	Balanced accuracy	0.644781144781145	Holdout
Baseline(ESM-1b)	P. aeruginosa	Accuracy	0.62280701754386	Holdout
Baseline(ESM-1b)	P. falciparum	AUC	0.791586075593345	Holdout
Baseline(ESM-1b)	P. falciparum	F1	0.814591951861602	Holdout
Baseline(ESM-1b)	P. falciparum	MCC	0.453271236562517	Holdout
Baseline(ESM-1b)	P. falciparum	PPV	0.763213530655391	Holdout
Baseline(ESM-1b)	P. falciparum	NPV	0.722859664607237	Holdout
Baseline(ESM-1b)	P. falciparum	Sensitivity	0.873387096774194	Holdout
Baseline(ESM-1b)	P. falciparum	Specificity	0.549295774647887	Holdout
Baseline(ESM-1b)	P. falciparum	Balanced accuracy	0.71134143571104	Holdout
Baseline(ESM-1b)	P. falciparum	Accuracy	0.751699823721984	Holdout
Baseline(ESM-1b)	S. mansoni	AUC	0.543571188636691	Holdout
Baseline(ESM-1b)	S. mansoni	F1	0.329774614472123	Holdout
Baseline(ESM-1b)	S. mansoni	MCC	0.0926527760270721	Holdout
Baseline(ESM-1b)	S. mansoni	PPV	0.358247422680412	Holdout
Baseline(ESM-1b)	S. mansoni	NPV	0.739273927392739	Holdout
Baseline(ESM-1b)	S. mansoni	Sensitivity	0.305494505494506	Holdout
Baseline(ESM-1b)	S. mansoni	Specificity	0.782532751091703	Holdout
Baseline(ESM-1b)	S. mansoni	Balanced accuracy	0.544013628293104	Holdout
Baseline(ESM-1b)	S. mansoni	Accuracy	0.646875	Holdout
Baseline(ESM-1b)	T. gondii	AUC	0.654063758024154	Holdout
Baseline(ESM-1b)	T. gondii	F1	0.805970149253731	Holdout
Baseline(ESM-1b)	T. gondii	MCC	0.127740215810867	Holdout
Baseline(ESM-1b)	T. gondii	PPV	0.707865168539326	Holdout
Baseline(ESM-1b)	T. gondii	NPV	0.5	Holdout
Baseline(ESM-1b)	T. gondii	Sensitivity	0.935643564356436	Holdout
Baseline(ESM-1b)	T. gondii	Specificity	0.142857142857143	Holdout
Baseline(ESM-1b)	T. gondii	Balanced accuracy	0.539250353606789	Holdout
Baseline(ESM-1b)	T. gondii	Accuracy	0.689419795221843	Holdout
Baseline(ESM2)	B. pertussis	AUC	0.480084557187361	Holdout
Baseline(ESM2)	B. pertussis	F1	0.638743455497382	Holdout
Baseline(ESM2)	B. pertussis	MCC	0.0203895911946896	Holdout
Baseline(ESM2)	B. pertussis	PPV	0.726190476190476	Holdout
Baseline(ESM2)	B. pertussis	NPV	0.292307692307692	Holdout
Baseline(ESM2)	B. pertussis	Sensitivity	0.570093457943925	Holdout
Baseline(ESM2)	B. pertussis	Specificity	0.452380952380952	Holdout
Baseline(ESM2)	B. pertussis	Balanced accuracy	0.511237205162439	Holdout
Baseline(ESM2)	B. pertussis	Accuracy	0.536912751677852	Holdout
Baseline(ESM2)	C. difficile	AUC	0.67342811619071	Holdout
Baseline(ESM2)	C. difficile	F1	0.0869565217391304	Holdout
Baseline(ESM2)	C. difficile	MCC	0.113097168717541	Holdout
Baseline(ESM2)	C. difficile	PPV	0.400000000000001	Holdout
Baseline(ESM2)	C. difficile	NPV	0.910138248847926	Holdout
Baseline(ESM2)	C. difficile	Sensitivity	0.0487804878048781	Holdout
Baseline(ESM2)	C. difficile	Specificity	0.992462311557789	Holdout
Baseline(ESM2)	C. difficile	Balanced accuracy	0.520621399681333	Holdout
Baseline(ESM2)	C. difficile	Accuracy	0.904328018223235	Holdout
Baseline(ESM2)	Corynebacterium	AUC	0.604783950617284	Holdout
Baseline(ESM2)	Corynebacterium	F1	0.638888888888889	Holdout
Baseline(ESM2)	Corynebacterium	MCC	0.145154947720485	Holdout
Baseline(ESM2)	Corynebacterium	PPV	0.511111111111111	Holdout
Baseline(ESM2)	Corynebacterium	NPV	0.666666666666667	Holdout
Baseline(ESM2)	Corynebacterium	Sensitivity	0.851851851851852	Holdout
Baseline(ESM2)	Corynebacterium	Specificity	0.266666666666667	Holdout
Baseline(ESM2)	Corynebacterium	Balanced accuracy	0.559259259259259	Holdout
Baseline(ESM2)	Corynebacterium	Accuracy	0.543859649122807	Holdout
Baseline(ESM2)	C. trachomatis	AUC	0.83378827811245	Holdout
Baseline(ESM2)	C. trachomatis	F1	0.661800486618005	Holdout
Baseline(ESM2)	C. trachomatis	MCC	0.493149356132565	Holdout
Baseline(ESM2)	C. trachomatis	PPV	0.87741935483871	Holdout
Baseline(ESM2)	C. trachomatis	NPV	0.657142857142857	Holdout
Baseline(ESM2)	C. trachomatis	Sensitivity	0.53125	Holdout
Baseline(ESM2)	C. trachomatis	Specificity	0.923694779116466	Holdout
Baseline(ESM2)	C. trachomatis	Balanced accuracy	0.727472389558233	Holdout
Baseline(ESM2)	C. trachomatis	Accuracy	0.724752475247525	Holdout
Baseline(ESM2)	E. coli	AUC	0.854862119013062	Holdout
Baseline(ESM2)	E. coli	F1	0.854794520547945	Holdout
Baseline(ESM2)	E. coli	MCC	0	Holdout
Baseline(ESM2)	E. coli	PPV	0.746411483253589	Holdout
Baseline(ESM2)	E. coli	NPV	0	Holdout
Baseline(ESM2)	E. coli	Sensitivity	1	Holdout
Baseline(ESM2)	E. coli	Specificity	0	Holdout
Baseline(ESM2)	E. coli	Balanced accuracy	0.5	Holdout
Baseline(ESM2)	E. coli	Accuracy	0.746411483253589	Holdout
Baseline(ESM2)	Enterobacteriaceae	AUC	0.70099407489308	Holdout
Baseline(ESM2)	Enterobacteriaceae	F1	0.641833810888252	Holdout
Baseline(ESM2)	Enterobacteriaceae	MCC	0.310374773808168	Holdout
Baseline(ESM2)	Enterobacteriaceae	PPV	0.626865671641791	Holdout
Baseline(ESM2)	Enterobacteriaceae	NPV	0.682971014492754	Holdout
Baseline(ESM2)	Enterobacteriaceae	Sensitivity	0.657534246575342	Holdout
Baseline(ESM2)	Enterobacteriaceae	Specificity	0.653379549393414	Holdout
Baseline(ESM2)	Enterobacteriaceae	Balanced accuracy	0.655456897984378	Holdout
Baseline(ESM2)	Enterobacteriaceae	Accuracy	0.655330882352941	Holdout
Baseline(ESM2)	Filoviridae	AUC	0.935917295258621	Holdout
Baseline(ESM2)	Filoviridae	F1	0.444444444444444	Holdout
Baseline(ESM2)	Filoviridae	MCC	0.387956568751453	Holdout
Baseline(ESM2)	Filoviridae	PPV	0.48	Holdout
Baseline(ESM2)	Filoviridae	NPV	0.934615384615385	Holdout
Baseline(ESM2)	Filoviridae	Sensitivity	0.413793103448276	Holdout
Baseline(ESM2)	Filoviridae	Specificity	0.94921875	Holdout
Baseline(ESM2)	Filoviridae	Balanced accuracy	0.681505926724138	Holdout
Baseline(ESM2)	Filoviridae	Accuracy	0.894736842105263	Holdout
Baseline(ESM2)	Human Gammaherpesvirus 4	AUC	0.615676125335059	Holdout
Baseline(ESM2)	Human Gammaherpesvirus 4	F1	0.421148587055606	Holdout
Baseline(ESM2)	Human Gammaherpesvirus 4	MCC	0.147850083770466	Holdout
Baseline(ESM2)	Human Gammaherpesvirus 4	PPV	0.578947368421053	Holdout
Baseline(ESM2)	Human Gammaherpesvirus 4	NPV	0.588908450704225	Holdout
Baseline(ESM2)	Human Gammaherpesvirus 4	Sensitivity	0.330945558739255	Holdout
Baseline(ESM2)	Human Gammaherpesvirus 4	Specificity	0.799283154121864	Holdout
Baseline(ESM2)	Human Gammaherpesvirus 4	Balanced accuracy	0.565114356430559	Holdout
Baseline(ESM2)	Human Gammaherpesvirus 4	Accuracy	0.586319218241042	Holdout
Baseline(ESM2)	Influenza A	AUC	0.654162350811381	Holdout
Baseline(ESM2)	Influenza A	F1	0.769652650822669	Holdout
Baseline(ESM2)	Influenza A	MCC	0.171180207534727	Holdout
Baseline(ESM2)	Influenza A	PPV	0.798861480075901	Holdout
Baseline(ESM2)	Influenza A	NPV	0.362445414847162	Holdout
Baseline(ESM2)	Influenza A	Sensitivity	0.742504409171076	Holdout
Baseline(ESM2)	Influenza A	Specificity	0.439153439153439	Holdout
Baseline(ESM2)	Influenza A	Balanced accuracy	0.590828924162258	Holdout
Baseline(ESM2)	Influenza A	Accuracy	0.666666666666667	Holdout
Baseline(ESM2)	Lentivirus	AUC	0.64022464022464	Holdout
Baseline(ESM2)	Lentivirus	F1	0.79646017699115	Holdout
Baseline(ESM2)	Lentivirus	MCC	0.244924467880276	Holdout
Baseline(ESM2)	Lentivirus	PPV	0.706806282722513	Holdout
Baseline(ESM2)	Lentivirus	NPV	0.617647058823529	Holdout
Baseline(ESM2)	Lentivirus	Sensitivity	0.912162162162162	Holdout
Baseline(ESM2)	Lentivirus	Specificity	0.272727272727273	Holdout
Baseline(ESM2)	Lentivirus	Balanced accuracy	0.592444717444717	Holdout
Baseline(ESM2)	Lentivirus	Accuracy	0.693333333333333	Holdout
Baseline(ESM2)	Measles morbilivirus	AUC	0.479350490196078	Holdout
Baseline(ESM2)	Measles morbilivirus	F1	0.553191489361702	Holdout
Baseline(ESM2)	Measles morbilivirus	MCC	-0.159905968705818	Holdout
Baseline(ESM2)	Measles morbilivirus	PPV	0.433333333333333	Holdout
Baseline(ESM2)	Measles morbilivirus	NPV	0.354838709677419	Holdout
Baseline(ESM2)	Measles morbilivirus	Sensitivity	0.764705882352941	Holdout
Baseline(ESM2)	Measles morbilivirus	Specificity	0.114583333333333	Holdout
Baseline(ESM2)	Measles morbilivirus	Balanced accuracy	0.439644607843137	Holdout
Baseline(ESM2)	Measles morbilivirus	Accuracy	0.419889502762431	Holdout
Baseline(ESM2)	Mononegavirales	AUC	0.730667030328577	Holdout
Baseline(ESM2)	Mononegavirales	F1	0.445893089960887	Holdout
Baseline(ESM2)	Mononegavirales	MCC	0.299057250052082	Holdout
Baseline(ESM2)	Mononegavirales	PPV	0.642857142857143	Holdout
Baseline(ESM2)	Mononegavirales	NPV	0.725228975853455	Holdout
Baseline(ESM2)	Mononegavirales	Sensitivity	0.341317365269461	Holdout
Baseline(ESM2)	Mononegavirales	Specificity	0.901656314699793	Holdout
Baseline(ESM2)	Mononegavirales	Balanced accuracy	0.621486839984627	Holdout
Baseline(ESM2)	Mononegavirales	Accuracy	0.710293115201091	Holdout
Baseline(ESM2)	M. tuberculosis	AUC	0.510776291999278	Holdout
Baseline(ESM2)	M. tuberculosis	F1	0.65267074142971	Holdout
Baseline(ESM2)	M. tuberculosis	MCC	0.0350702526866218	Holdout
Baseline(ESM2)	M. tuberculosis	PPV	0.526135389888603	Holdout
Baseline(ESM2)	M. tuberculosis	NPV	0.522565320665083	Holdout
Baseline(ESM2)	M. tuberculosis	Sensitivity	0.859342197340798	Holdout
Baseline(ESM2)	M. tuberculosis	Specificity	0.165912518853695	Holdout
Baseline(ESM2)	M. tuberculosis	Balanced accuracy	0.512627358097247	Holdout
Baseline(ESM2)	M. tuberculosis	Accuracy	0.525589836660617	Holdout
Baseline(ESM2)	Orthopoxvirus	AUC	0.613019776876268	Holdout
Baseline(ESM2)	Orthopoxvirus	F1	0.294736842105263	Holdout
Baseline(ESM2)	Orthopoxvirus	MCC	0.0780076451238516	Holdout
Baseline(ESM2)	Orthopoxvirus	PPV	0.212121212121212	Holdout
Baseline(ESM2)	Orthopoxvirus	NPV	0.848484848484849	Holdout
Baseline(ESM2)	Orthopoxvirus	Sensitivity	0.482758620689655	Holdout
Baseline(ESM2)	Orthopoxvirus	Specificity	0.617647058823529	Holdout
Baseline(ESM2)	Orthopoxvirus	Balanced accuracy	0.550202839756592	Holdout
Baseline(ESM2)	Orthopoxvirus	Accuracy	0.593939393939394	Holdout
Baseline(ESM2)	O. volvulus	AUC	0.569216322892793	Holdout
Baseline(ESM2)	O. volvulus	F1	0.226666666666667	Holdout
Baseline(ESM2)	O. volvulus	MCC	0.0826296404283827	Holdout
Baseline(ESM2)	O. volvulus	PPV	0.216284987277354	Holdout
Baseline(ESM2)	O. volvulus	NPV	0.86317907444668	Holdout
Baseline(ESM2)	O. volvulus	Sensitivity	0.238095238095238	Holdout
Baseline(ESM2)	O. volvulus	Specificity	0.847826086956522	Holdout
Baseline(ESM2)	O. volvulus	Balanced accuracy	0.54296066252588	Holdout
Baseline(ESM2)	O. volvulus	Accuracy	0.756404871902562	Holdout
Baseline(ESM2)	P. aeruginosa	AUC	0.789749345304901	Holdout
Baseline(ESM2)	P. aeruginosa	F1	0.650406504065041	Holdout
Baseline(ESM2)	P. aeruginosa	MCC	0.407303541790928	Holdout
Baseline(ESM2)	P. aeruginosa	PPV	0.952380952380952	Holdout
Baseline(ESM2)	P. aeruginosa	NPV	0.430555555555556	Holdout
Baseline(ESM2)	P. aeruginosa	Sensitivity	0.493827160493827	Holdout
Baseline(ESM2)	P. aeruginosa	Specificity	0.939393939393939	Holdout
Baseline(ESM2)	P. aeruginosa	Balanced accuracy	0.716610549943883	Holdout
Baseline(ESM2)	P. aeruginosa	Accuracy	0.62280701754386	Holdout
Baseline(ESM2)	P. falciparum	AUC	0.685027368512148	Holdout
Baseline(ESM2)	P. falciparum	F1	0.736012608353034	Holdout
Baseline(ESM2)	P. falciparum	MCC	0.269678317702261	Holdout
Baseline(ESM2)	P. falciparum	PPV	0.719568567026194	Holdout
Baseline(ESM2)	P. falciparum	NPV	0.554909090909091	Holdout
Baseline(ESM2)	P. falciparum	Sensitivity	0.753225806451613	Holdout
Baseline(ESM2)	P. falciparum	Specificity	0.511737089201878	Holdout
Baseline(ESM2)	P. falciparum	Balanced accuracy	0.632481447826745	Holdout
Baseline(ESM2)	P. falciparum	Accuracy	0.662553512969025	Holdout
Baseline(ESM2)	S. mansoni	AUC	0.534202216996977	Holdout
Baseline(ESM2)	S. mansoni	F1	0.444995044598612	Holdout
Baseline(ESM2)	S. mansoni	MCC	0.0416821145467295	Holdout
Baseline(ESM2)	S. mansoni	PPV	0.287268074216251	Holdout
Baseline(ESM2)	S. mansoni	NPV	0.837837837837838	Holdout
Baseline(ESM2)	S. mansoni	Sensitivity	0.986813186813187	Holdout
Baseline(ESM2)	S. mansoni	Specificity	0.0270742358078603	Holdout
Baseline(ESM2)	S. mansoni	Balanced accuracy	0.506943711310524	Holdout
Baseline(ESM2)	S. mansoni	Accuracy	0.3	Holdout
Baseline(ESM2)	T. gondii	AUC	0.601240343814601	Holdout
Baseline(ESM2)	T. gondii	F1	0.696808510638298	Holdout
Baseline(ESM2)	T. gondii	MCC	0.165817284737475	Holdout
Baseline(ESM2)	T. gondii	PPV	0.752873563218391	Holdout
Baseline(ESM2)	T. gondii	NPV	0.403361344537815	Holdout
Baseline(ESM2)	T. gondii	Sensitivity	0.648514851485149	Holdout
Baseline(ESM2)	T. gondii	Specificity	0.527472527472527	Holdout
Baseline(ESM2)	T. gondii	Balanced accuracy	0.587993689478838	Holdout
Baseline(ESM2)	T. gondii	Accuracy	0.610921501706485	Holdout
Bepipred 3.0	B. pertussis	AUC	0.635291499777481	Holdout
Bepipred 3.0	B. pertussis	F1	0.777777777777778	Holdout
Bepipred 3.0	B. pertussis	MCC	-0.00846625840543454	Holdout
Bepipred 3.0	B. pertussis	PPV	0.716535433070866	Holdout
Bepipred 3.0	B. pertussis	NPV	0.272727272727273	Holdout
Bepipred 3.0	B. pertussis	Sensitivity	0.850467289719626	Holdout
Bepipred 3.0	B. pertussis	Specificity	0.142857142857143	Holdout
Bepipred 3.0	B. pertussis	Balanced accuracy	0.496662216288384	Holdout
Bepipred 3.0	B. pertussis	Accuracy	0.651006711409396	Holdout
Bepipred 3.0	C. difficile	AUC	0.575009192302978	Holdout
Bepipred 3.0	C. difficile	F1	0	Holdout
Bepipred 3.0	C. difficile	MCC	-0.0266236610177439	Holdout
Bepipred 3.0	C. difficile	PPV	0	Holdout
Bepipred 3.0	C. difficile	NPV	0.905963302752294	Holdout
Bepipred 3.0	C. difficile	Sensitivity	0	Holdout
Bepipred 3.0	C. difficile	Specificity	0.992462311557789	Holdout
Bepipred 3.0	C. difficile	Balanced accuracy	0.496231155778894	Holdout
Bepipred 3.0	C. difficile	Accuracy	0.899772209567198	Holdout
Bepipred 3.0	Corynebacterium	AUC	0.647839506172839	Holdout
Bepipred 3.0	Corynebacterium	F1	0.303030303030303	Holdout
Bepipred 3.0	Corynebacterium	MCC	0.247059688071247	Holdout
Bepipred 3.0	Corynebacterium	PPV	0.833333333333333	Holdout
Bepipred 3.0	Corynebacterium	NPV	0.568627450980392	Holdout
Bepipred 3.0	Corynebacterium	Sensitivity	0.185185185185185	Holdout
Bepipred 3.0	Corynebacterium	Specificity	0.966666666666667	Holdout
Bepipred 3.0	Corynebacterium	Balanced accuracy	0.575925925925926	Holdout
Bepipred 3.0	Corynebacterium	Accuracy	0.596491228070175	Holdout
